volume1,volume2,volume3,volume4,volume5,returns1,returns2,returns3,returns4,returns5,sma1,sma2,sma3,sma4,sma5,lma1,lma2,lma3,lma4,lma5,rsi1,rsi2,rsi3,rsi4,rsi5,atr1,atr2,atr3,atr4,atr5,trades1,trades2,trades3,trades4,trades5,monday,roll,chicago,flag2,trend_boostDT,trend_boostDTprob,trend_TCdeep,trend_TCdeepprob,trend_NN,trend_NNprob,flag1,range_boostDT,range_boostDTprob,range_TCdeep,range_TCdeepprob,range_NN,range_NNprob
6,8,15,14,5,0.00224466985382366,0.0011204482964895,0.00111919429701501,0.000559127775260126,-0.000559127775260126,35.589,35.597,35.612,35.632,35.652,35.6816666666667,35.68175,35.6821666666667,35.68275,35.6831666666667,77.6562966519216,82.5965540559853,86.2990546089697,87.8753874793413,77.0417628500825,0.0799999999999983,0.0499999999999972,0.0900000000000034,0.100000000000001,0.0200000000000031,6,7,13,9,3,1,0,0,trend,trend,0.863332390785217,trend,0.874598741531372,trend,0.947162210941315,norange,norange,0.138201400637627,norange,0.0498779118061066,norange,0.00600816449150443
386,143,85,86,285,-0.000289393722176179,0.00202399953438404,0.000577533946171549,-0.00173360343909001,-0.00144696885324347,34.6249999999999,34.6239999999999,34.6319999999999,34.6299999999999,34.6169999999999,35.0999166666667,35.0933333333333,35.0871666666667,35.08075,35.0736666666666,27.7131671633719,46.4061083427453,50.8449412143446,39.0009073399369,31.5220496460709,0.109999999999999,0.119999999999997,0.0699999999999932,0.140000000000001,0.109999999999999,142,66,60,61,74,0,0,1,notrend,trend,0.751099288463593,trend,0.761189699172974,trend,0.816305696964264,range,norange,0.259133040904999,norange,0.245843932032585,norange,0.173186376690865
81,87,190,168,104,0.000527843770503189,0,0.000527565298440447,0.000790826454817761,0.00105346335789536,37.8960000000002,37.8960000000002,37.9000000000002,37.9060000000002,37.9140000000002,37.8394166666667,37.84,37.8410833333334,37.8421666666667,37.8439166666667,58.1745144436314,58.1745144436314,70.2696015094708,80.5704373680534,87.5819740652357,0.029999999999994,0.00999999999999801,0.0300000000000011,0.0499999999999972,0.0499999999999972,39,38,90,67,54,0,1,0,notrend,notrend,0.0886401608586311,notrend,0.267877519130707,notrend,0.294279485940933,range,range,0.929254353046417,range,0.748548150062561,range,0.867456138134003
108,81,64,40,78,-0.00220507255831404,-0.00110436234305311,0.000276204945824254,0.000276128677717313,0.000276052451718467,36.3699999999999,36.3569999999999,36.344,36.3309999999999,36.3049999999999,35.7626666666667,35.7705,35.7783333333333,35.7865833333333,35.7948333333333,27.6656068143994,23.5350546782473,26.8712116004582,30.5734133153422,34.6189291441091,0.109999999999999,0.0599999999999952,0.0499999999999972,0.0399999999999991,0.00999999999999801,71,52,38,21,22,0,1,1,trend,trend,0.999997615814209,trend,0.76884788274765,trend,0.971493661403656,norange,norange,1.28576778024581E-06,norange,0.153823539614677,norange,0.0739688575267792
253,135,64,155,92,0.000517330585774634,0.000517063093215864,-0.000775694932236615,-0.000258698746753883,0.0010343936789905,38.6530000000002,38.6550000000002,38.6500000000002,38.6500000000002,38.6550000000002,38.64325,38.6430833333333,38.6426666666666,38.6423333333333,38.6431666666666,58.9104734503242,64.5758851035603,51.5460921448601,47.6306352921944,61.8121369533511,0.0399999999999991,0.0300000000000011,0.0399999999999991,0.0399999999999991,0.0600000000000023,99,76,42,66,48,1,1,1,trend,notrend,0.0251156222075224,notrend,0.313376098871231,notrend,0.333743304014206,norange,range,0.981614112854004,range,0.775276482105255,range,0.647286176681519
9,3,8,0,3,-0.000589622658591527,-0.000589970518587002,-0.000590318789279731,0,0.000295202954173401,33.913,33.911,33.906,33.903,33.901,33.9745,33.9735,33.9723333333334,33.9711666666667,33.97025,41.6634403472839,34.0004979939892,27.760107707677,27.7601077076771,36.4693456928931,0.0200000000000031,0.019999999999996,0.0300000000000011,0.0300000000000011,0.0100000000000051,4,2,7,0,1,1,0,0,trend,trend,0.96620100736618,trend,0.516612648963928,trend,0.876529932022095,norange,norange,0.0315561294555664,range,0.514804005622864,norange,0.204099282622337
80,130,93,151,39,-0.00135703644112128,0.00298305305953983,-0.00543036903289584,0.000816437655910551,-0.000816437655910551,36.825,36.84,36.838,36.834,36.827,36.5954999999999,36.5991666666666,36.6011666666666,36.6034166666666,36.6054999999999,48.0323503841689,67.8435697099701,36.728576376255,41.6359369974549,38.0307679162839,0.0599999999999952,0.119999999999997,0.200000000000003,0.0799999999999983,0.0499999999999972,53,68,55,83,29,0,1,0,trend,trend,0.510532140731812,notrend,0.31808066368103,trend,0.999226093292236,norange,range,0.517723321914673,range,0.617153167724609,range,0.976945221424103
65,159,128,135,164,0.000506457341795219,0.000253132516223165,0.000506072885294806,-0.00025300442892684,-0.000759397581109322,39.5050000000002,39.5010000000002,39.4990000000002,39.5040000000002,39.5010000000002,39.5270833333333,39.5281666666667,39.5295,39.5308333333333,39.5315,47.2621002651975,50.9169800657032,58.0274148672049,53.3081068615325,41.0628995411343,0.0300000000000011,0.0399999999999991,0.0399999999999991,0.019999999999996,0.0400000000000063,42,74,78,72,62,0,1,1,notrend,notrend,0.491823941469193,notrend,0.230437621474266,notrend,0.28982213139534,range,range,0.537411272525787,range,0.704990208148956,range,0.64542144536972
0,4,22,5,8,0,-0.000281888655848217,-0.00225797442815834,0.000847337997315289,0,35.4919999999998,35.4869999999999,35.4739999999999,35.4639999999999,35.4529999999999,35.474,35.4751666666666,35.4759166666666,35.477,35.4778333333333,45.0350582522834,38.2958242836453,15.5472634660928,33.6199109875417,33.6199109875417,0,0.0399999999999991,0.0799999999999983,0.0300000000000011,0.00999999999999801,0,4,13,5,6,0,0,0,trend,trend,0.500676572322845,trend,0.884064793586731,trend,0.861529350280762,norange,range,0.528106153011322,norange,0.17055007815361,norange,0.0172632448375225
11,129,2,10,8,0.000570125443037028,0,0,0,-0.000570125443037028,35.0119999999999,35.0219999999999,35.0339999999999,35.0439999999999,35.0539999999999,34.9168333333334,34.9191666666667,34.9215,34.9238333333334,34.926,71.5208149244241,71.5208149244241,71.5208149244241,71.5208149244241,55.8202480487481,0.0300000000000011,0.0300000000000011,0,0.0300000000000011,0.0399999999999991,10,62,2,9,7,0,0,0,trend,notrend,0.00748880160972476,notrend,0.262851864099503,notrend,0.376334190368652,norange,range,0.994902431964874,range,0.722810029983521,range,0.66663658618927
12,8,5,5,7,-0.000250344224614452,0,0.000500625792683618,-0.000250281568069166,-0.000500751137153976,39.9530000000002,39.9520000000002,39.9510000000002,39.9480000000002,39.9450000000002,39.9644166666665,39.9644999999999,39.9646666666665,39.9647499999999,39.9648333333332,35.398288300254,35.398288300254,62.0368675516021,49.550519760409,33.210788106734,0.0100000000000051,0.0100000000000051,0.0200000000000031,0.00999999999999801,0.0200000000000031,5,4,5,2,5,1,1,0,notrend,notrend,0.058184590190649,notrend,0.307996839284897,notrend,0.0817401856184006,range,range,0.954970180988312,range,0.771305918693542,range,0.797538995742798
66,52,82,146,96,-0.00103761358207022,0.000518941371272064,-0.00103815218252068,-0.000519480531163019,0.000259773998084079,38.5660000000001,38.5630000000001,38.5510000000001,38.5390000000001,38.5290000000001,38.6869166666667,38.6858333333333,38.6845833333333,38.68325,38.6824166666667,37.8037536866778,45.8303241545513,34.839737138049,30.3865626237423,35.4302065936093,0.0600000000000023,0.0499999999999972,0.0599999999999952,0.0599999999999952,0.0499999999999972,34,33,46,38,49,0,1,1,trend,trend,0.942020297050476,notrend,0.459222257137299,trend,0.563120722770691,norange,norange,0.0558556318283081,range,0.663953423500061,norange,0.464021354913712
17,22,10,25,4,0.000498256113945494,-0.000498256113945494,-0.000498504496863728,-0.000498753127545992,-0.000998253140047201,40.1180000000002,40.1200000000002,40.1200000000002,40.1170000000002,40.1150000000002,40.1898333333333,40.1889166666666,40.1878333333333,40.1865,40.1848333333333,70.1331869712271,54.7708078715668,43.2040942272399,34.3403740981583,22.8707056135288,0.019999999999996,0.019999999999996,0.0300000000000011,0.0399999999999991,0.0400000000000063,9,12,8,12,4,0,1,0,notrend,notrend,0.000168754180776887,notrend,0.228935986757278,notrend,0.345117032527924,range,range,0.999907195568085,range,0.75046306848526,range,0.785426199436188
32,27,18,1,80,0,0,-0.00024304289826782,0,-0.000729483315024204,41.1420000000002,41.1430000000002,41.1430000000002,41.1410000000002,41.1380000000002,41.19375,41.1931666666667,41.1925,41.1918333333333,41.1909166666667,64.1808265812098,64.1808265812098,44.6067378682202,44.6067378682202,18.8470339921019,0.029999999999994,0.019999999999996,0.019999999999996,0,0.0499999999999972,15,10,10,1,30,0,1,0,notrend,notrend,0.000121437966299709,notrend,0.18167045712471,notrend,0.0944425314664841,range,range,0.999934434890747,range,0.795521259307861,range,0.895441651344299
